Date,Open,High,Low,Close
24-August-2022,58853.32,59170.87,58760.09,59085.43,
25-August-2022,59315.98,59484.35,58666.41,58774.72,
26-August-2022,59050.67,59321.65,58722.69,58833.87,
29-August-2022,57367.47,58208.30,57367.47,57972.62,
30-August-2022,58259.85,59599.78,58245.49,59537.07,
1-September-2022,58710.53,59309.79,58522.57,58766.59,
2-September-2022,58969.02,59108.66,58558.64,58803.33,
5-September-2022,58814.08,59308.25,58812.20,59245.98,
6-September-2022,59285.36,59566.67,58974.26,59196.99,
7-September-2022,58789.26,59166.46,58722.89,59028.91,
8-September-2022,59374.99,59711.96,59315.71,59688.22,
9-September-2022,60045.75,60119.80,59634.39,59793.14,
12-September-2022,59912.29,60284.55,59912.29,60115.13,
13-September-2022,60408.29,60635.28,60381.02,60571.08,
14-September-2022,59417.12,60649.04,59417.12,60346.97,
15-September-2022,60454.37,60676.12,59865.75,59934.01,
16-September-2022,59585.72,59720.56,58687.17,58840.79,
19-September-2022,58747.31,59277.55,58487.76,59141.23,
20-September-2022,59556.91,60105.79,59556.91,59719.74,
21-September-2022,59504.14,59799.04,59275.40,59456.78,
22-September-2022,59073.84,59457.58,58832.78,59119.72,
23-September-2022,59005.18,59143.32,57981.95,58098.92,
26-September-2022,57525.03,57708.38,57038.24,57145.22,
27-September-2022,57376.52,57704.57,56950.52,57107.52,
28-September-2022,56710.13,57213.33,56485.67,56598.28,
29-September-2022,56997.90,57166.14,56314.05,56409.96,
30-September-2022,56240.15,57722.63,56147.23,57426.92,
3-October-2022,57403.92,57454.84,56683.40,56788.81,
4-October-2022,57506.65,58099.94,57506.65,58065.47,
6-October-2022,58314.05,58578.76,58173.70,58222.10,
7-October-2022,58092.56,58269.34,57851.15,58191.29,
10-October-2022,57424.07,58125.01,57365.68,57991.11,
11-October-2022,58004.25,58027.52,57050.40,57147.32,
12-October-2022,57312.49,57687.64,57085.92,57625.91,
13-October-2022,57512.74,57568.14,57055.75,57235.33,
14-October-2022,58162.74,58435.12,57848.23,57919.97,
17-October-2022,57752.50,58449.00,57639.80,58410.98,
18-October-2022,58744.13,59143.66,58744.13,58960.60,
19-October-2022,59196.96,59399.69,58961.77,59107.19,
20-October-2022,58824.48,59273.85,58791.28,59202.90,
21-October-2022,59381.36,59590.93,59132.94,59307.15,
24-October-2022,59804.02,59994.25,59776.66,59831.66,
25-October-2022,60002.96,60081.24,59489.02,59543.96,
27-October-2022,59792.32,59959.94,59496.80,59756.84,
28-October-2022,59746.80,60133.17,59739.05,59959.85,
31-October-2022,60246.96,60786.70,60246.96,60746.59,
1-November-2022,61065.58,61289.73,60868.69,61121.35,
2-November-2022,61156.89,61209.65,60794.39,60906.09,
3-November-2022,60511.57,60994.37,60485.14,60836.41,
4-November-2022,60698.27,61004.49,60666.01,60950.36,
7-November-2022,61188.13,61401.54,60714.36,61185.15,
9-November-2022,61304.29,61447.23,60905.15,61033.55,
10-November-2022,60524.27,60848.73,60425.47,60613.70,
11-November-2022,61311.02,61840.97,61311.02,61795.04,
14-November-2022,61765.86,61916.24,61572.03,61624.15,
15-November-2022,61630.05,61955.96,61436.90,61872.99,
16-November-2022,61708.63,62052.57,61708.63,61980.72,
17-November-2022,61812.36,62050.80,61643.27,61750.60,
18-November-2022,61858.20,61929.88,61337.43,61663.48,
21-November-2022,61456.33,61456.33,61059.33,61144.84,
